state,x,y
Andhra Pradesh,-60.0,-140.0
Arunachal Pradesh,274.0,170.0
Assam,235.0,119.0
Bihar,76.0,91.0
Chhattisgarh,10.0,-10.0
Goa,-210.0,-170.0
Gujarat,-244.0,5.0
Haryana,-150.0,182
Himachal Pradesh,-102.0,233.0
Jharkhand,80.0,37.0
Karnataka,-165,-184.0
Kerala,-143.0,-333.0
Madhya Pradesh,-107.0,21.0
Maharashtra,-174.0,-69.0
Manipur,267.0,75.0
Meghalaya,209.0,85.0
Mizoram,245.0,40.0
Nagaland,277.0,108.0
Odisha,45.0,-37.0
Punjab,-165.0,231.0
Chandigarh,-165.0,210.0
Rajasthan,-211.0,127.0
Sikkim,136.0,142.0
Tamil Nadu,-103.0,-299.0
Tripura,209.0,45.0
Uttar Pradesh,-50.0,131.0
Uttarakhand,-61.0,208.0
West Bengal,132.0,18.0
Andaman and Nicobar Islands,260.0,-278.0
Delhi,-135.0,167.0
Jammu and Kashmir,-130.0,315.0
Ladakh,-110.0,290.0
Lakshadweep,-259.0,-281.0
Puducherry,-56.0,-255.0
